"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,42.71307,1,"B5",NA,2.497752824,3.61132093,-3.354686711,-0.1230875,0.0438084,-0.990661,2.5127538,0.2298532,35.8678662,-771.8429317,0.1291331,0.0442365,-0.9903374,2.5361521,0.2851276,36.315749,-776.8683665
"2",2,42.73511,1,"B5",NA,2.486652824,3.51032093,-3.273186711,-0.1227668,0.0435605,-0.9907116,2.4985277,0.2112286,1.79540709306015,-746.0838382,0.1287836,0.0440137,-0.9903929,2.5233721,0.2648314,1.71281022695857,-763.5145144
"3",3,42.75761,1,"B5",NA,2.510352824,3.65572093,-3.457586711,-0.1220689,0.0440438,-0.9907765,2.5262613,0.1710169,2.42250840329411,13.4279078408444,0.128138,0.0444938,-0.9904552,2.5509147,0.2276438,2.11184976314252,3.85478526862899
"4",4,42.78005,1,"B5",NA,2.489352824,3.98012093,-3.820586711,-0.1213358,0.043911,-0.9908724,2.5186412,0.1285874,2.39972386711789,-0.891836821523345,0.1275447,0.0442905,-0.9905409,2.5392486,0.1932595,1.88687709524445,-8.95100032903743
"5",5,42.80196,1,"B5",NA,2.462152824,4.43992093,-4.319586711,-0.1205653,0.0437757,-0.9909725,2.5108737,0.0839932,2.38288997633408,8.29868080961522,0.1269687,0.0440479,-0.9906257,2.5253342,0.1598621,1.71430340314539,25.3695133953829
"6",6,42.81329,1,"B5",NA,2.435852824,4.73602093,-4.633686711,-0.1201924,0.0435485,-0.9910277,2.4978372,0.0623637,2.57964314886476,3.26623811297138,0.1267242,0.0437449,-0.9906704,2.5079493,0.1456232,2.37841710299621,27.4134827583429
"7",7,42.83511,1,"B5",NA,2.419552824,4.80312093,-4.744986711,-0.1194115,0.0433301,-0.9911318,2.4853002,0.0171519,2.34326260759772,3.24054228628076,0.1259855,0.0435203,-0.9907745,2.4950677,0.1028315,2.29575111715956,29.9268087018904
"8",8,42.84663,1,"B5",NA,2.398552824,4.45142093,-4.410486711,-0.1191785,0.0427442,-0.9911852,2.4516761,-0.0035085,2.54272322778543,9.43867921690807,0.12563,0.0430103,-0.9908419,2.4658066,0.0821129,3.0289087931724,15.57074151532
"9",9,42.86892,1,"B5",NA,2.383752824,3.81372093,-3.812686711,-0.1186079,0.0420702,-0.9912824,2.4129917,-0.0296681,2.57756402435982,1.2670246647287,0.1248299,0.0424919,-0.9909654,2.4360708,0.0356871,2.30446871743126,-20.5642387807311
"10",10,42.89086,1,"B5",NA,2.376252824,4.19922093,-4.241286711,-0.1177859,0.0422073,-0.9913747,2.4208647,-0.0771416,2.59886734404417,-3.56607399128169,0.1241681,0.0425551,-0.9910458,2.4396962,0.0025567,2.11517475875282,0.650173571852338
"11",11,42.91338,1,"B5",NA,2.401452824,4.41972093,-4.507686711,-0.1169552,0.0427697,-0.9914489,2.4531365,-0.1249837,2.4163848829039,9.46891737523246,0.1234183,0.0431039,-0.9911158,2.4711792,0.0457314,2.33875665981268,16.8354141621237
"12",12,42.9349,1,"B5",NA,2.480252824,4.46862093,-4.591786711,-0.1163507,0.0440896,-0.9914623,2.5288932,-0.1595292,2.99830641904924,-63.2426206098752,0.1228042,0.044478,-0.9911313,2.5500067,0.0808028,2.84969913265029,-53.007357716143
"13",13,42.94623,1,"B5",NA,2.495952824,4.63572093,-4.774286711,-0.1160539,0.0444588,-0.9914805,2.5500831,-0.1765744,1.25885451871864,-46.3981324410386,0.1225681,0.0448276,-0.9911448,2.5700669,0.0943441,1.37954784280378,-22.230738837748
"14",14,42.95768,1,"B5",NA,2.528252824,4.95302093,-5.089686711,-0.1160335,0.0452053,-0.9914491,2.5929299,-0.1775255,1.95421233072495,23.3472600935963,0.1226514,0.0455209,-0.9911029,2.6098389,0.0893007,2.35618610071366,33.4626826260086
"15",15,42.97958,1,"B5",NA,2.549252824,5.95392093,-6.082586711,-0.1159836,0.0462489,-0.991407,2.6528307,-0.1800872,1.64683663872553,-2.02786471640884,0.1229711,0.046356,-0.9910246,2.6577549,0.0705473,1.95387100163513,-15.1704948459987
"16",16,43.00143,1,"B5",NA,2.557752824,6.68092093,-6.793286711,-0.1161287,0.046914,-0.9913588,2.6910072,-0.1714972,1.86489287163166,-7.19235583460955,0.1233846,0.0468617,-0.9909494,2.6867677,0.0464728,1.69231694832014,-19.9381350975957
"17",17,43.02371,1,"B5",NA,2.547652824,6.47632093,-6.560086711,-0.1166589,0.0466005,-0.9913111,2.6730128,-0.1409512,1.32205399590921,-17.5629008665037,0.1238384,0.0465713,-0.9909065,2.6701066,0.020333,1.07057498969194,-15.2047505172595
"18",18,43.04579,1,"B5",NA,2.523252824,6.23902093,-6.308586711,-0.1169464,0.0460335,-0.9913038,2.6404657,-0.1245124,1.08444228897438,-1.7801974560424,0.1240439,0.0460325,-0.9909059,2.6391941,0.0086256,1.0152939988834,23.2943080658906
"19",19,43.06158,1,"B5",NA,2.499952824,6.46432093,-6.525286711,-0.1170475,0.0458235,-0.9913015,2.6284169,-0.1187346,1.19814615569038,62.8571280787658,0.1242409,0.0457521,-0.9908943,2.6231069,0.0026687,1.79046116630305,62.2633639819049
"20",20,43.07616,1,"B5",NA,2.423252824,6.80602093,-6.845786711,-0.1173292,0.0448452,-0.9913131,2.5722622,-0.1027544,2.92606935963028,79.9335671770955,0.1246919,0.0446332,-0.9908886,2.5589118,0.028386,2.8902953564705,48.8754389420197
"21",21,43.09813,1,"B5",NA,2.341552824,6.14952093,-6.166486711,-0.1178352,0.043036,-0.9913332,2.4684243,-0.0740496,3.83461417035234,18.4160800005768,0.1249802,0.0429029,-0.9909288,2.4596469,0.0445031,3.38058741395483,14.655269572125
"22",22,43.12048,1,"B5",NA,2.278252824,5.68612093,-5.663586711,-0.1185983,0.0416678,-0.9913007,2.3899027,-0.0303423,3.73355366009492,11.2382561249111,0.1255841,0.0415785,-0.9909089,2.3836756,0.0790156,3.53690566138111,19.2120737603936
"23",23,43.14264,1,"B5",NA,2.199852824,5.54892093,-5.472686711,-0.1195393,0.0402952,-0.9912444,2.3111276,0.0236585,4.33183455442811,26.2338442044889,0.1264966,0.0401587,-0.9908513,2.3022329,0.131357,4.23339540297123,25.0413816576848
"24",24,43.16504,1,"B5",NA,2.118952824,5.31972093,-5.175986711,-0.1207393,0.0388099,-0.9911582,2.2258992,0.0926189,4.90235030398303,-33.222214870991,0.1276267,0.0386422,-0.9907667,2.2152515,0.1962664,4.6512163494476,-34.7971901666748
"25",25,43.17642,1,"B5",NA,2.091752824,5.14872093,-4.966986711,-0.1214255,0.0382427,-0.9910963,2.193348,0.132132,3.85637031718262,-63.1708483509447,0.1282497,0.0380777,-0.9907081,2.1828751,0.2321337,3.64696433826717,-50.9259950568889
"26",26,43.19807,1,"B5",NA,2.041252824,5.01402093,-4.783986711,-0.1222809,0.0373199,-0.9910264,2.1403966,0.1813364,3.11100814722671,-38.5580286384295,0.129061,0.0371321,-0.9906387,2.1286386,0.2787951,3.35241849237867,-25.5719903107782
"27",27,43.22033,1,"B5",NA,2.013652824,5.36672093,-5.086886711,-0.1230667,0.0371368,-0.9909361,2.1298901,0.2267198,2.16076784865129,-20.1652621173494,0.1299878,0.0368165,-0.9905292,2.1105389,0.3323142,2.51679831189438,-17.6365743945535
"28",28,43.23186,1,"B5",NA,2.009352824,5.46512093,-5.165886711,-0.1233809,0.0371412,-0.9908967,2.1301429,0.2448913,2.18795235088185,61.8293214739371,0.1303397,0.0367839,-0.9904842,2.1086708,0.3526603,2.54292463326459,56.6338048526751
