"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,38.79107,1,"B5",NA,-0.709123553,-2.130191417,1.753014571,0.0207026,-0.0145167,-0.9971805,-0.8338605,-0.2799821,NA,NA,-0.0026754,-0.0140632,-0.9972938,-0.8078895,-0.4574552,NA,NA
"2",2,38.81329,1,"B5",NA,-0.712523553,-2.078391417,1.711614571,0.0205605,-0.0145205,-0.9971835,-0.8340745,-0.2718189,0.723540013829294,NA,-0.0024621,-0.0140757,-0.9972942,-0.808609,-0.4452053,0.738965209433246,NA
"3",3,38.83573,1,"B5",NA,-0.744423553,-2.095891417,1.745414571,0.0202622,-0.0150838,-0.9971812,-0.8664376,-0.2546888,1.43884648691215,13.4743548531702,-0.0022065,-0.0146564,-0.9972865,-0.8419745,-0.4305171,1.53083828411252,15.5524521448158
"4",4,38.85793,1,"B5",NA,-0.787223553,-2.047891417,1.718914571,0.0199216,-0.015766,-0.9971774,-0.9056283,-0.2351307,1.32945170592041,-5.04732031659667,-0.0018138,-0.0153567,-0.9972767,-0.882204,-0.4079578,1.43796331540814,-3.43504143764596
"5",5,38.87988,1,"B5",NA,-0.820323553,-2.020591417,1.703414571,0.0197362,-0.0163016,-0.9971726,-0.9363922,-0.2244843,1.21603720180418,5.4297106384829,-0.0015981,-0.0159036,-0.9972685,-0.9136258,-0.3955672,1.37899407571264,2.05398328850237
"6",6,38.89117,1,"B5",NA,-0.832123553,-1.992291417,1.684014571,0.0196043,-0.0164744,-0.9971724,-0.9463207,-0.2169084,1.39697490863494,-24.4498510665639,-0.0014287,-0.0160832,-0.9972659,-0.9239433,-0.3858341,1.45570389381862,-19.3739576391905
"7",7,38.90247,1,"B5",NA,-0.836923553,-1.986691417,1.692014571,0.0193695,-0.0165501,-0.9971755,-0.9506722,-0.2034226,0.663310304009242,-29.19485683928,-0.0011985,-0.0161738,-0.9972647,-0.9291516,-0.3726095,0.941074688143983,-27.3374008570811
"8",8,38.92437,1,"B5",NA,-0.860223553,-2.108791417,1.809814571,0.0193498,-0.0170768,-0.9971671,-0.9809269,-0.2022984,0.806456533856306,-7.7963595403628,-0.0013668,-0.0167009,-0.9972558,-0.9594344,-0.3822778,0.741075256645946,-13.3451497314224
"9",9,38.94687,1,"B5",NA,-0.865523553,-2.153291417,1.855914571,0.0192859,-0.0172124,-0.9971661,-0.98872,-0.1986317,0.308552310176712,-11.7948229930663,-0.0013752,-0.0168418,-0.9972534,-0.9675312,-0.3827648,0.346022386709463,-6.29943191445302
"10",10,38.96975,1,"B5",NA,-0.873323553,-2.172191417,1.870114571,0.0193519,-0.0173663,-0.9971621,-0.9975612,-0.2024227,0.275134482804763,19.0850391982764,-0.0014686,-0.0169904,-0.9972508,-0.9760646,-0.3881286,0.459485256266284,22.1468574566585
"11",11,38.99128,1,"B5",NA,-0.822323553,-2.238291417,1.931514571,0.0193865,-0.0165635,-0.9971749,-0.9514402,-0.2043992,1.12838232939422,-16.6496395381387,-0.0015954,-0.0161877,-0.9972639,-0.9299482,-0.3954125,1.30636077482057,-16.0731274923764
"12",12,39.00315,1,"B5",NA,-0.815723553,-2.270791417,1.961614571,0.019403,-0.0164837,-0.997176,-0.9468545,-0.2053445,0.262704097673535,-22.6147499618396,-0.0016603,-0.0161078,-0.9972651,-0.9253569,-0.3991409,0.457882154754964,-24.7907540308312
