"","X","Time","Phase","GFO","Movement","xrotcsv","yrotcsv","zrotcsv","Px","Py","Pz","pitch","yaw","V","Va","P2x","P2y","P2z","pitch2","yaw2","V2","V2a"
"1",1,178.1962,1,"B5",NA,-1.864605671,-0.482736658,-0.339265586,-0.1080979,-0.0325227,0.9866752,-1.8766732,0.2323034,2.9116798,10.5395738,0.0981452,0.0324247,0.9863303,1.8736197,0.4071253,1.0009756,27.5186936
"2",2,178.2189,1,"B5",NA,-1.827935671,-0.488836658,-0.359465586,-0.1084259,-0.0318907,0.9866599,-1.84019,0.2512152,2.53626984443204,7.2950657,0.0981762,0.0318009,0.9863475,1.8375645,0.4088143,0.85209780235305,9.9993577
"3",3,178.2418,1,"B5",NA,-1.811005671,-0.478536658,-0.304365586,-0.1075172,-0.0315925,0.9867689,-1.8229798,0.1983904,2.05804133824744,-15.1284026317566,0.0982091,0.03148,0.9863545,1.8190156,0.4106622,0.414908191645671,1.39608137400046
"4",4,178.264,1,"B5",NA,-1.782765671,-0.472636658,-0.276565586,-0.1070619,-0.0311008,0.986834,-1.7945949,0.1718614,1.84995042896464,-22.2575533439632,0.0982149,0.0309775,0.9863698,1.7899721,0.4109104,0.900719940795126,19.8397269649269
"5",5,178.2754,1,"B5",NA,-1.776025671,-0.480436658,-0.293965586,-0.107333,-0.0309877,0.9868081,-1.7880702,0.1875788,1.44933570667901,0.377077665435046,0.0982837,0.0308698,0.9863664,1.783746,0.4148855,1.10359481738321,9.90935667314277
"6",6,178.287,1,"B5",NA,-1.760915671,-0.469636658,-0.303065586,-0.1075325,-0.0307208,0.9867948,-1.7726641,0.1991104,1.86572695926514,23.721546917903,0.0980643,0.0306132,0.9863962,1.7689105,0.4020961,1.12705780725052,-15.2555020860023
"7",7,178.3093,1,"B5",NA,-1.767875671,-0.467836658,-0.335365586,-0.1080949,-0.0308406,0.9867293,-1.779577,0.2317906,2.1232316645055,82.9713024303125,0.0979103,0.03075,0.9864072,1.7768196,0.3931781,0.401556838866469,-17.9843451986825
"8",8,178.3206,1,"B5",NA,-1.775905671,-0.465036658,-0.312865586,-0.1077162,-0.0309781,0.9867663,-1.7875173,0.2098288,3.8678986523814,98.0075800500678,0.0979469,0.0308774,0.9863996,1.7841821,0.3953242,0.362741172925074,6.42069339391359
"9",9,178.332,1,"B5",NA,-1.765605671,-0.454036658,-0.264665586,-0.1069298,-0.0307945,0.9868582,-1.7769159,0.1641297,4.34236495878096,-75.6007382568481,0.097941,0.0306748,0.9864065,1.7724713,0.3949468,0.54829214971587,-2.3974659776601
"10",10,178.3434,1,"B5",NA,-1.763955671,-0.444936658,-0.225865586,-0.1062954,-0.0307616,0.9869273,-1.7750211,0.1272942,2.14420182012272,-157.38323045885,0.0979316,0.0306266,0.986409,1.7696888,0.3943923,0.308078948633918,2.02925937616824
"11",11,178.3553,1,"B5",NA,-1.767635671,-0.446136658,-0.217265586,-0.1061426,-0.030826,0.9869421,-1.778733,0.1184341,0.693054737835103,-64.7591618003869,0.0979846,0.0306859,0.9864018,1.7731167,0.3974828,0.607124189582526,15.0866067210378
"12",12,178.3776,1,"B5",NA,-1.761305671,-0.461936658,-0.229865586,-0.1063002,-0.0307239,0.9869283,-1.7728448,0.1275619,0.524172586665709,18.1721141091081,0.0982093,0.0305828,0.9863827,1.7671565,0.4105139,0.719591145714299,4.11977434913133
"13",13,178.4004,1,"B5",NA,-1.748925671,-0.473336658,-0.223365586,-0.106145,-0.0305151,0.9869515,-1.7607892,0.1185134,1.52548973652766,13.6939482381045,0.0984311,0.0303655,0.9863673,1.7545927,0.4233568,0.792464219272131,6.12972375972329
"14",14,178.4229,1,"B5",NA,-1.739225671,-0.477836658,-0.186265586,-0.1054906,-0.0303491,0.9870266,-1.7512099,0.080491,1.1535754830359,-35.7397256183737,0.0986499,0.0301791,0.9863512,1.743819,0.4360359,0.99638757113291,-9.03770418069048
"15",15,178.4341,1,"B5",NA,-1.742465671,-0.487236658,-0.183865586,-0.1054133,-0.0304098,0.9870329,-1.7547136,0.0760207,0.538136279811147,-22.4836916616569,0.0988206,0.0302339,0.9863324,1.746988,0.4459615,0.692434484559161,-20.9081441012474
"16",16,178.4558,1,"B5",NA,-1.744035671,-0.481936658,-0.191465586,-0.1055637,-0.0304345,0.9870163,-1.756138,0.0847539,0.754757517943058,-1.43254006199143,0.0987004,0.0302649,0.9863435,1.7487777,0.4389863,0.373930135801396,-1.80304615852238
"17",17,178.4674,1,"B5",NA,-1.740015671,-0.480436658,-0.200165586,-0.1057196,-0.0303641,0.9870017,-1.7520746,0.0937909,0.605725060287094,0.265463988633786,0.0986419,0.0301997,0.9863513,1.745012,0.435574,0.502359854121157,12.5477361692222
"18",18,178.4891,1,"B5",NA,-1.753575671,-0.470036658,-0.192365586,-0.1056244,-0.0305939,0.9870048,-1.7653381,0.0883089,0.896039674216172,1.42419419331005,0.0984915,0.0304303,0.9863593,1.7583395,0.4268794,0.80667945838779,1.78016723595347
